id,year,name_en,name_vi,author_en,author_vi,publisher_en,publisher_vi,scale,map_type,cartographic_style,detail_en,detail_vi,historical_significance_en,historical_significance_vi,source_of_record,bounds_sw_lat,bounds_sw_lng,bounds_ne_lat,bounds_ne_lng,thumb_url_base,tile_url_template,min_zoom,tms,maxzoom
layer_1799_modified_1,1799,"Plan of the City of Saigon, Fortified in 1790",Bản đồ quy hoạch thành Gia Định,Design: Théodore Le Brun (Engineer); Construction Supervisor: Col. Victor Olivier de Puymanel; Map Drawer (1795): M. Brun (Engineer),Thiết kế: Théodore Le Brun (Kỹ sư); Giám sát thi công: Đại tá Victor Olivier de Puymanel; Người vẽ bản đồ (1795): M. Brun (Kỹ sư),Service of the King of Cochinchina,Phục vụ Vua xứ Nam Kỳ,Not specified,Military Plan,Vauban Military Plan,"In 1789, Lord Nguyen Anh recaptured Saigon and ordered the construction of the Gia Dinh Citadel, which was completed in 1790. The fortress was designed by French engineer Théodore Le Brun and built under the supervision of Colonel Olivier de Puymanel in the Vauban style. This map is a reduction of a larger plan drawn in 1795. The citadel was a square fortress with bastions, a moat, and an internal grid of over 40 streets. The center housed the royal palace, with other buildings including an arsenal, foundry, and hospital. The total area was about 65 ha. [4, 6, 15, 18]","Năm 1789, chúa Nguyễn Ánh chiếm lại Sài Gòn và cho xây thành Gia Định, hoàn thành năm 1790. Pháo đài được kỹ sư Pháp Théodore Le Brun thiết kế và Đại tá Olivier de Puymanel giám sát xây dựng theo kiểu Vauban. Bản đồ này là phiên bản thu nhỏ của một họa đồ lớn hơn vẽ năm 1795. Thành có hình vuông với các pháo đài, hào nước và mạng lưới nội bộ gồm hơn 40 con đường thẳng. Trung tâm là hoàng cung, cùng các công trình khác như xưởng vũ khí, xưởng đúc và bệnh viện. Tổng diện tích khoảng 65 ha.",Documents the first instance of European urban planning in Vietnam and the critical Franco-Vietnamese collaboration that helped establish the Nguyễn Dynasty. It showcases the transfer of advanced European military architecture to Southeast Asia.,Ghi lại trường hợp quy hoạch đô thị châu Âu đầu tiên tại Việt Nam và sự hợp tác quan trọng giữa Pháp và Việt Nam giúp thành lập triều Nguyễn. Bản đồ thể hiện sự chuyển giao kiến trúc quân sự tiên tiến của châu Âu đến Đông Nam Á.,"Historic Vietnam, Wikipedia [6, 17]",10.728408907889172,106.66310974197486,10.819074776181584,106.73408348814188,1799,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1799/{z}/{x}/{y}.webp,13,1,16
layer_1815_modified_2,1815,Map of Gia Dinh,Bản đồ Gia Định,"Tran Van Hoc, Chief Supervisor of the Citadel","Trần Văn Học, Chánh giám thành sứ",Nguyễn Dynasty Imperial Court,Triều đình nhà Nguyễn,Not specified,Regional Map,Vietnamese-Western Hybrid,"A map of the Gia Dinh Citadel and its surrounding area, created in 1815 after the capital had moved to Huế. Drawn by Tran Van Hoc, a Vietnamese mandarin, it was presented to Emperor Gia Long. It is one of the earliest known maps made by a Vietnamese cartographer using Western techniques, likely learned from French advisors. It shows the city walls, rivers, canals, and the urban structure of Saigon and the emerging Cholon. [4, 21, 24]","Bản đồ thành Gia Định và vùng phụ cận, được lập năm 1815 sau khi kinh đô đã dời về Huế. Do quan nhà Nguyễn là Trần Văn Học vẽ và trình lên vua Gia Long. Đây là một trong những bản đồ sớm nhất do người Việt lập bằng kỹ thuật phương Tây, có thể học từ các cố vấn Pháp. Bản đồ thể hiện tường thành, sông ngòi, kênh rạch và cấu trúc đô thị của Sài Gòn và khu Chợ Lớn đang hình thành.","Marks the indigenization of Western cartographic methods. It represents a shift from direct foreign expertise to the adoption and adaptation of that knowledge by the Vietnamese bureaucracy, signaling the birth of modern Vietnamese cartography.","Đánh dấu sự bản địa hóa các phương pháp bản đồ của phương Tây. Nó đại diện cho sự chuyển đổi từ chuyên môn trực tiếp của nước ngoài sang việc tiếp thu và điều chỉnh kiến thức đó bởi bộ máy quan lại Việt Nam, báo hiệu sự ra đời của ngành bản đồ hiện đại của Việt Nam.","Virtual Saigon, HCMC Museum [20, 79]",10.674825002752256,106.59253020971416,10.85874723887188,106.77323334240792,1815,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1815/{z}/{x}/{y}.webp,11,1,14
layer_1862_modified_3,1862,"Urban Project for 500,000 Inhabitants in Saigon",Dự án đô thị 500.000 dân ở Sài Gòn,"Lt. Col. Paul Coffyn, Corps of Engineers",Đại tá công binh Paul Coffyn,French Expeditionary Corps of Cochinchina,Quân viễn chinh Pháp tại Nam Kỳ,Not specified,Urban Master Plan,French Colonial Master Plan,"A master plan for a new colonial capital of 500,000 inhabitants, presented by Lt. Col. Coffyn on April 30, 1862, and approved by Governor Admiral Bonnard on May 10. The ambitious plan laid out a 25 sq km area with a rational grid, wide boulevards, and segregated zones. Though not fully implemented due to its scale and cost, its core street network became the foundational blueprint for Saigon's development. [4, 26, 28]","Một bản quy hoạch tổng thể cho một thủ phủ thuộc địa mới với 500.000 dân, do Trung tá Coffyn trình ngày 30/4/1862 và được Đô đốc Bonnard duyệt ngày 10/5. Kế hoạch đầy tham vọng này bố trí một khu vực rộng 25 km2 với mạng lưới đường phố ô cờ, đại lộ rộng và các khu vực được phân chia. Dù không được thực hiện đầy đủ do quy mô và chi phí, mạng lưới đường phố cốt lõi của nó đã trở thành bản thiết kế nền tảng cho sự phát triển của Sài Gòn.","The ideological and spatial blueprint for colonial Saigon. It demonstrates the French intent to build a modern, European-style city designed for administrative efficiency, commercial exploitation, and military control. Its influence on the city's layout lasted for nearly a century.","Bản thiết kế ý thức hệ và không gian cho Sài Gòn thời thuộc địa. Nó thể hiện ý định của người Pháp trong việc xây dựng một thành phố hiện đại theo kiểu châu Âu được thiết kế cho hiệu quả hành chính, khai thác thương mại và kiểm soát quân sự. Ảnh hưởng của nó đối với bố cục thành phố kéo dài gần một thế kỷ.","Pahor.at, Historic Vietnam [26, 38]",10.735451895193124,106.64132477338973,10.806103680519682,106.7267817573958,1862,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1862/{z}/{x}/{y}.webp,13,1,15
layer_1882sg_modified_4,1882,Detailed Map of Saigon City,Bản đồ chi tiết TP Sài Gòn,"M. Boilloux, Inspector","Ông Boilloux, Thanh tra",Cadastre Service of Cochinchina,Sở Địa chính Nam Kỳ,"1:4,000",Cadastral Map,French Cadastral,"A detailed map of central Saigon created under the authority of Charles Le Myre de Vilers, the first civilian governor of Cochinchina. It shows the French-style urban plan with a grid street network, documenting the built reality of the colonial city twenty years after the Coffyn Plan. Published by Lemercier in Paris. [4, 41, 43]","Một bản đồ chi tiết trung tâm Sài Gòn được tạo ra dưới thời Charles Le Myre de Vilers, thống đốc dân sự đầu tiên của Nam Kỳ. Nó cho thấy quy hoạch đô thị kiểu Pháp với mạng lưới đường phố ô cờ, ghi lại thực tế xây dựng của thành phố thuộc địa hai mươi năm sau Kế hoạch Coffyn. Được xuất bản bởi Lemercier tại Paris.","An artifact of a maturing colonial state, shifting from aspirational plans to the practical, bureaucratic work of territorial management and taxation. It provides a precise snapshot of the urban core in the 1880s.","Một tạo tác của một nhà nước thuộc địa đang trưởng thành, chuyển từ các kế hoạch đầy tham vọng sang công việc thực tế, quan liêu của quản lý lãnh thổ và thuế khóa. Nó cung cấp một cái nhìn chính xác về khu vực trung tâm đô thị trong những năm 1880.","BNF, Virtual Saigon [39, 43]",10.759924518019671,106.68790889761983,10.796613454125245,106.71547261893554,1882,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1882/{z}/{x}/{y}.webp,14,1,17
layer_1882_modified_5,1882,Map of the 20th Arrondissement and Surroundings,Bản đồ quận 20 và vùng phụ cận,"M. Boilloux, Inspector","Ông Boilloux, Thanh tra",Cadastre Service of Cochinchina,Sở Địa chính Nam Kỳ,"1:20,000",Topographic Survey,French Topographic Survey,"A topographic survey map of the 20th arrondissement and surrounding areas of Saigon, created in 1882 under Governor Le Myre de Vilers. It reflects the details of the expanding urbanized area during the early colonial period, demonstrating the administration's need to map and control the city's hinterland. [4, 39]","Bản đồ đo đạc địa hình quận 20 và các vùng lân cận ở Sài Gòn, được lập năm 1882 dưới thời Thống đốc Le Myre de Vilers. Nó phản ánh chi tiết khu vực đô thị hóa đang mở rộng trong thời kỳ đầu thuộc địa, cho thấy nhu cầu của chính quyền trong việc lập bản đồ và kiểm soát vùng ven của thành phố.","Complements the detailed city map of the same year, showing the dual focus of colonial cartography: intensive control of the urban core and extensive surveying of the periphery for security and expansion.","Bổ sung cho bản đồ thành phố chi tiết cùng năm, cho thấy sự tập trung kép của bản đồ học thuộc địa: kiểm soát chuyên sâu khu vực trung tâm đô thị và khảo sát rộng rãi vùng ngoại vi để đảm bảo an ninh và mở rộng.","Virtual Saigon, ANOM [39]",10.724151801019117,106.59928568481524,10.858834953043116,106.81507032892404,1882,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1882/{z}/{x}/{y}.webp,11,1,15
layer_1895_modified_13,1895,Map of Saigon Outskirts,Bản đồ vùng ven Sài Gòn,"Lt. Joly, Colonial Infantry (updater)","Trung úy Joly, Bộ binh Thuộc địa (người cập nhật)",Cadastre Service of Cochinchina,Sở Địa chính Nam Kỳ,"1:20,000",Topographic Survey,French Topographic Survey,"A map prepared by the Cadastre Service of Cochinchina and updated by Lieutenant Joly of the French Colonial Infantry in August 1895. It shows the peripheral area of Saigon with terrain, rivers, and transportation routes, reflecting the process of administrative and military expansion. [4, 45]","Một bản đồ do Sở Địa chính Nam Kỳ lập và được Trung úy Joly thuộc Bộ binh Thuộc địa Pháp cập nhật vào tháng 8 năm 1895. Nó thể hiện khu vực ngoại vi Sài Gòn với địa hình, sông ngòi và các tuyến giao thông, phản ánh quá trình mở rộng hành chính và quân sự.",Illustrates the ongoing interplay between civil (Cadastre) and military (Colonial Infantry) authorities in mapping and securing the colony's territory.,Minh họa sự tương tác liên tục giữa các cơ quan dân sự (Địa chính) và quân sự (Bộ binh Thuộc địa) trong việc lập bản đồ và bảo vệ lãnh thổ của thuộc địa.,,10.721535684312029,106.5996526765845,10.86402479082869,106.81371849680512,1895,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1895/{z}/{x}/{y}.webp,11,1,16
layer_1898_modified_6,1898,Cadastral Map of Saigon City,Bản đồ địa chính TP Sài Gòn,Director: Mr. Bertaux; Draftsman: A. Chauvet,Giám đốc: Ông Bertaux; Họa viên: A. Chauvet,Cadastre and Survey Service of Cochinchina,Sở Địa chính và Đo đạc Nam Kỳ,"1:4,000",Cadastral Map,French Cadastral,"A highly detailed cadastral map of Saigon published in 1898 under the direction of Mr. Bertaux, the head of the Cadastre Service. Redrawn and revised by draftsman A. Chauvet, this map, published in four sheets, shows individual property plots and buildings in the city center, representing the peak of 19th-century colonial urban administration. [4, 33, 47]","Một bản đồ địa chính rất chi tiết của Sài Gòn được xuất bản năm 1898 dưới sự chỉ đạo của ông Bertaux, người đứng đầu Sở Địa chính. Được họa viên A. Chauvet vẽ lại và chỉnh lý, bản đồ này, được xuất bản thành bốn tờ, thể hiện các lô đất và tòa nhà riêng lẻ ở trung tâm thành phố, đại diện cho đỉnh cao của quản lý đô thị thuộc địa thế kỷ 19.","A prime example of the cadastral mapping essential for colonial economic control, property registration, and urban management. It is a document of a fully established and meticulously administered colonial city.","Một ví dụ điển hình về việc lập bản đồ địa chính cần thiết cho việc kiểm soát kinh tế, đăng ký tài sản và quản lý đô thị của chế độ thuộc địa. Đây là một tài liệu về một thành phố thuộc địa đã được thành lập hoàn chỉnh và quản lý một cách tỉ mỉ.",BNF [33],10.754960505717198,106.6759312665849,10.799322932902191,106.7242772010032,1898,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1898/{z}/{x}/{y}.webp,13,1,17
layer_1900_modified_7,1900,General Map of Saigon,Bản đồ tổng thể Sài Gòn,Cadastre and Survey Service of Cochinchina,Sở Địa chính và Đo đạc Nam Kỳ,Cadastre and Survey Service of Cochinchina,Sở Địa chính và Đo đạc Nam Kỳ,Not specified,General Map,General Map,"A general map of the extended Saigon area at the beginning of the 20th century. It shows the city's urban development and its connections to surrounding regions, portraying Saigon as the central node in a larger colonial network. [4]","Một bản đồ tổng thể của khu vực Sài Gòn mở rộng vào đầu thế kỷ 20. Nó cho thấy sự phát triển đô thị của thành phố và các kết nối của nó với các vùng xung quanh, miêu tả Sài Gòn như một trung tâm của một mạng lưới thuộc địa lớn hơn.","Shifts the cartographic focus from the city's internal structure to its role as the hub of a regional colonial territory, emphasizing its strategic and economic importance in Indochina.","Chuyển trọng tâm bản đồ từ cấu trúc nội tại của thành phố sang vai trò là trung tâm của một lãnh thổ thuộc địa trong khu vực, nhấn mạnh tầm quan trọng chiến lược và kinh tế của nó ở Đông Dương.",,10.605959028926211,106.573272499584,10.910665873456349,106.8200679018665,1900,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1900/{z}/{x}/{y}.webp,11,1,14
layer_1923_modified_8,1923,Map of Saigon - Cholon,Bản đồ Sài Gòn - Chợ Lớn,Geographic Service of Indochina,Sở Địa lý Đông Dương,Geographic Service of Indochina,Sở Địa lý Đông Dương,"1:10,000",City Plan,Heliographic Print,"A large (136 x 118 cm) and detailed map of the twin cities of Saigon and Cholon, produced just years before their official merger in 1931. It was printed using a heliographic process, a photomechanical technique for reproducing large technical drawings. The document is held in several French archives, including the BNF and the Cité de l'architecture. [4, 52]","Một bản đồ lớn (136 x 118 cm) và chi tiết về hai thành phố Sài Gòn và Chợ Lớn, được sản xuất chỉ vài năm trước khi chúng chính thức sáp nhập vào năm 1931. Nó được in bằng quy trình in héliographique, một kỹ thuật quang cơ để sao chép các bản vẽ kỹ thuật lớn. Tài liệu này được lưu giữ tại một số cơ quan lưu trữ của Pháp, bao gồm BNF và Cité de l'architecture.",Documents the distinct but merging urban fabrics of Saigon and Cholon on the cusp of their administrative fusion. The use of heliography provides insight into the specific reproduction technologies of the era for large-format cartography.,Ghi lại các cấu trúc đô thị riêng biệt nhưng đang hợp nhất của Sài Gòn và Chợ Lớn ngay trước khi chúng sáp nhập về mặt hành chính. Việc sử dụng kỹ thuật in héliographique cho thấy cái nhìn sâu sắc về các công nghệ sao chép cụ thể của thời đại dành cho bản đồ khổ lớn.,"BNF, Cité de l'architecture [4]",10.6983901876313,106.6093296630134,10.80780587479193,106.73449117638631,1923,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1923/{z}/{x}/{y}.webp,12,1,16
layer_1930_modified_9,1930,Topographic Map of Gia Dinh Province,Bản đồ địa hình tỉnh Gia Định,Cadastre and Survey Service of Cochinchina,Sở Địa chính và Đo đạc Nam Kỳ,Imprimerie d'Extrême-Orient (Hanoi),Imprimerie d'Extrême-Orient (Hà Nội),"1:100,000",Topographic Map,Topographic Map,"A topographic map of the entire Gia Dinh province, published in 1930 by the Cadastre Service. Printed in Hanoi, this 75 x 110 cm map shows terrain, hydrography, and administrative boundaries for the greater metropolitan region of Saigon-Cholon, with notes in French. The source document is from the Bibliothèque nationale de France. [4]","Một bản đồ địa hình của toàn tỉnh Gia Định, do Sở Địa chính xuất bản năm 1930. Được in tại Hà Nội, bản đồ kích thước 75 x 110 cm này thể hiện địa hình, thủy văn và ranh giới hành chính của vùng đô thị lớn hơn là Sài Gòn-Chợ Lớn, với các ghi chú bằng tiếng Pháp. Tài liệu gốc từ Thư viện Quốc gia Pháp.","Reflects a broad, provincial-level administrative perspective, essential for governing the vast agricultural and logistical hinterland that supported the urban core of Saigon-Cholon.","Phản ánh một góc nhìn hành chính cấp tỉnh rộng lớn, cần thiết cho việc quản lý vùng nội địa nông nghiệp và hậu cần rộng lớn hỗ trợ cho trung tâm đô thị Sài Gòn-Chợ Lớn.",BNF [4],10.26360763459378,106.32256496165392,11.220418072492633,107.0218448887627,1930,https://raw.githubusercontent.com/lqtue/historical_maps_hcmc/main/data/tiles/1930/{z}/{x}/{y}.webp,10,1,12
